Collection,Year,Part,Model,Number,Stamp,Condition,Origin,URL,Tags,Quantity,Image,Note
HW Celebration Racers,2024,3/10,1978 Dodge Li'l Red Express Truck,53/250,,New on card,Dollar Tree,,,,,
HW Celebration Racers,2024,6/10,Flippin Fast,103/250,,Opened,Walmart,,,,,
HW City,,,Surf Bus,3/250,1324N,Opened,Flea Market,,,,,
HW City,2013,,Speedbox,15/250,3662N,Opened,Flea Market,https://hotwheels.fandom.com/wiki/Speedbox,,,,
HW City,2013,,Surfin’ School Bus,31/250,3652N,Opened,Trade,,,,,
HW City,2013,,Power Panel,39/250,1683N,Opened,Flea Market,,,,,
HW City Works,2010,8/10,GMC Motorhome,116/240,1160N,Opened,Trade,,,,,
HW City Works,,4/10,Street Cleaver,169/250,2925N,New on card,Flea Market,,,,,
HW CODE Cars 2012,2012,21/22,Twinduction,246/247,0992N,Opened,Flea Market,,,,,
HW Daredevils,,3/5,Blade Raider,76/250,09-20,Opened,Flea Market,,,,,
HW Daredevils,,4/5,Dimachinni Veloce,163/250,02-22,New on card,Family Dollar,,,,,
HW Drag Strip,2022,1/10,1940 Ford Pickup,181/250,08-22,New on card,Dollar General,,,,,
HW Drag Strip,2023,2/10,Ford Mustang Mach-E 1400,81/250,,New on card,Walmart,,,,,
HW Drag Strip,2023,10/10,Madfast,198/250,,New on card,Walmart,,TH,2,,
HW Drag Strip,2023,9/10,1976 Chevy Chevette,197/250,,New on card,Grandpa,,,,,
HW Drag Strip,2023,3/10,2018 Copo Camaro SS,106/250,12-22,New on card,,https://hotwheels.fandom.com/wiki/'18_COPO_Camaro_SS,,,,
HW Dream Garage,2020,1/10,2 Jet Z,1/250,01-20,New on card,Flea Market,,,,,
HW Dream Garage,2020,4/10,Twin Mill Gen-E,62/250,2018,New on card,Flea Market,,,,,
HW Dream Garage,2022,3/5,FusionBusta,84/250,11-21,Opened,Flea Market,,,,,
HW Dream Garage,2023,4/5,El Segundo Coupe,105/250,,New on card,Walmart,,,,,
HW Dream Garage,2022,2/5,Count Muscula,83/250,04-22,New on card,Dollar General,,,,,
HW Dream Garage,2022,2/5,Count Muscula,83/250,,New (open),,,,,,
HW Dream Garage,2023,1/5,Volvo P1800 Gasser,1/250,09-22,New on card,Family Dollar,,,,,
HW Dream Garage,2023,2/5,Rodger Dodger,32/250,,New on card,Mommy,https://hotwheels.fandom.com/wiki/Rodger_Dodger,,,,depiction of a modified ’73 Dodge Charger SE with a blown V8 poking out of the hood
HW Dream Garage,2023,5/5,1968 Corvette - Gas Monkey Garage,139/250,,New on card,Family Dollar,https://hotwheels.fandom.com/wiki/'68_Corvette_-_Gas_Monkey_Garage,,,,
HW Dream Garage,2024,1/5,Custom Otto,6/250,,New on card,Publix,,,,,
HW Dream Garage,2024,1/5,Custom Otto,6/250,,Opened,Mommy,,,,Custom Otto (HW Dream Garage 2024) [white].jpeg,Hot Wheels Let’s Race
HW Dream Garage,2024,2/5,2018 Camaro SS,32/250,,New on card,Dollar Tree,,,,,
HW Dream Garage,2024,3/5,Mazda Autozam,1/250,,New on card,Dollar Tree,,,,,
HW Drift,2022,5/5,Muscle and Blown,240/250,07-22,New on card,Family Dollar,,TH,,,
HW Drift,,3/5,Dodge Challenger Drift Car,207/250,08-22,New on card,Dollar General,,,,,
HW Drift,,4/5,Volvo 240 Drift Wagon,232/250,06-22,New on card,Dollar Tree,,,,,
HW Exotics,2020,5/10,Electro Silhouette,181/250,03-20,Opened,Flea Market,,,,,
HW Exotics,2023,2/10,Porsche 911 GT3,177/250,,New on card,Walmart,,,2,,
HW Exotics,2022,9/10,Aston Martin Vantage GTE,238/250,07-22,New on card,Family Dollar,,,,,
HW Exotics,2022,3/10,LB-Works Lamborghini Huracan Coupe,172/250,,New on card,Flea Market,,,,,Liberty Walk
HW Exotics,2022,5/10,1971 Lamborghini Miura SV,202/250,08-22,New on card,Dollar General,,,,,
HW Exotics,2023,1/10,Lamborghini Sian FKP 37,163/250,,New on card,Dollar Tree,,,,,
HW Exotics,2023,4/10,Koenigsegg Gemera,188/250,,New on card,Walmart,,,,Koenigsegg Gemera (HW Exotics 2023) [yellow].jpeg,
HW Exotics,2023,4/10,Koenigsegg Gemera,188/250,,New on card,Mommy,,,,,
HW Exotics,2023,3/10,Celero GT,178/250,,Opened,Dollar Tree,,,,,
HW Exotics,2023,6/10,Bugatti Bolide,213/250,,New on card,Target,,,,,
HW Exotics,2023,8/10,Lamborghini Reventon,224/250,,New on card,Publix,https://hotwheels.fandom.com/wiki/Lamborghini_Reventón,,,,60 Anniversario
HW Exotics,2023,7/10,Porsche 935,223/250,,New on card,Target,,,,,
HW Exotics,2023,5/10,Mad Mike Drift Attack,209/250,,New on card,Mommy,,,,,
HW Exotics,2023,10/10,McLaren Solus GT,250/250,,New on card,Mommy,,,,,
HW Exotics,2023,10/10,McLaren Solus GT,250/250,,New on card,Mommy,,,,,
HW Exotics,2024,1/10,Porsche 904 Carrera GTS,158/250,,New on card,Mommy,,,3,,
HW Exotics,2024,2/10,2020 Koenigsegg Jesko,184/250,,Opened,Dollar Tree,,,,,
HW Exotics,2024,2/10,2020 Koenigsegg Jesko,184/250,,New on card,Walmart,,,,,
HW Exotics,2024,3/10,Bugatti Bolide,185/250,,New on card,Walmart,,,,,
HW Exotics,2024,4/10,Lamborghini Sesto Elemento,204/250,,New on card,Walmart,,,,,
HW Exotics,2024,5/10,Pagani Utopia,205/250,,New on card,Walmart,,,,,
HW Exotics,2024,6/10,1992 Dodge Viper RT/10,218/250,,New on card,Target,,,,,
HW Exotics,2024,7/10,Gordon Murray Automotive T.50s,235/250,,New on card,Walmart,,,,,
HW Fast Transit,2024,1/5,Hot Wheels High,5/250,,Opened,Dollar General,,,,,type:Bus
HW Fast Transit,2024,1/5,Hot Wheels High,5/250,,Opened,Target,,,,Hot Wheels High (HW Fast Transit 2024) [orange].jpeg,type:Bus
HW Fast Transit,2024,2/5,Road Bandit,30/250,,Opened,Dollar Tree,,,,,Hot Wheels Let’s Race
HW Fast Transit,2024,3/5,Ain’t Fare,31/250,,New on card,Dollar Tree,https://www.hwtreasure.com/2024-2/aint-fare/,TH,2,,type:Bus
HW Fast Transit,2024,4/5,West Coast Flyer,56/250,,Opened,Family Dollar,,,,,Hot Wheels Let’s Race / type:Train
HW Fast Transit,2024,4/5,West Coast Flyer,56/250,,Opened,Family Dollar,,,,West Coast Flyer (HW Fast Transit 2024) [white].jpeg,Hot Wheels Let’s Race / type:Train
HW Fast Transit,2024,5/5,Trouble Decker,126/250,,Opened,Dollar General,,,,,Hot Wheels Let’s Race / type:Bus
HW Fast Transit,2024,5/5,Trouble Decker,126/250,,Opened,Walmart,,,,Trouble Decker (HW Fast Transit 2024) [blue].jpeg,Hot Wheels Let’s Race / type:Bus
HW First Response,2024,3/10,Runway Res-Q,9/250,,Opened,Dollar General,,,,,type:Fire truck
HW First Response,2024,4/10,Humvee,33/250,,New on card,Dollar Tree,,,,,
HW First Response,2024,8/10,Mazda RX-7,80/250,,New on card,Dollar Tree,,,,,
HW First Response,2024,8/10,Mazda RX-7,80/250,,New on card,Walmart,,,,Mazda RX-7 (HW First Response 2024) [black].jpeg,
HW Games,,6/10,MR11,236/250,1366N,Opened,Flea Market,,,,,
HW Gassers,2023,1/5,1955 Chevy Bel Air Gasser,110/250,,New on card,Mommy,,,,,
HW Gassers,2023,3/5,1962 Corvette Gasser,174/250,,New on card,Dollar Tree,,,,,
HW Gassers,2023,4/5,1965 Mercury Comet Cyclone,199/250,,New on card,Dollar Tree,,,,,
HW Getaways,,2/5,RV There Yet,22/250,08-20,Opened,Flea Market,,,,,
HW Getaways,,4/5,Twinnin’ ‘N Winnin’,116/250,12-20,Opened,Flea Market,,,,,
HW Green Speed,2023,5/10,Automobili Pininfarina Battista,108/250,11-22,New on card,Family Dollar,,,,,
HW Green Speed,2023,5/10,Automobili Pininfarina Battista,108/250,11-22,New on card,Walmart,,ZAMAC,2,Automobili Pininfarina Battista (HW Green Speed 2023 ZAMAC).jpeg,
HW Green Speed,,6/10,Audi RS E-Tron GT,109/250,11-22,New on card,Family Dollar,,,,,
HW Green Speed,,2/5,Nissan Leaf Nismo RC_02,100/250,04-22,New on card,Dollar General,,,,,
HW Green Speed,,2/10,Porsche Panamera Turbo S E-Hybrid Sport Turismo,38/250,,New on card,Dollar General,,,,,
HW Green Speed,,3/10,Lotus Evija,84/250,11-22,New on card,Dollar Tree,https://hotwheels.fandom.com/wiki/Lotus_Evija,,,,
HW Green Speed,,4/10,Rimac Nevera,70/250,11-22,New on card,Dollar Tree,https://hotwheels.fandom.com/wiki/Rimac_Nevera,,,,
HW Green Speed,2023,7/10,Baja Bison T5,143/250,,Opened,Target,,,,,
HW Green Speed,,9/10,Jaguar I-Pace eTrophy,158/250,,New on card,Dollar Tree,,,,,
HW Green Speed,2023,8/10,Fiat 500e,144/250,,New on card,Family Dollar,,,,,
HW Green Speed,2023,10/10,Volkswagen ID. Buzz,173/250,,New on card,Dollar Tree,,,,,
HW Green Speed,2024,1/10,Czinger 21C,13/250,,New on card,Mommy,,ZAMAC,2,Czinger 21C (HW Green Speed 2024 ZAMAC).jpeg,
HW Green Speed,2024,2/10,Volvo XC40 Recharge,14/250,,New on card,Mommy,,,,,
HW Green Speed,2024,9/10,Ford Performance Supervan 4,128/250,,New on card,Walmart,,,,,
HW Green Speed,2024,7/10,Delorean Alpha5,85/250,,New on card,Dollar Tree,,,,,
HW Green Speed,2024,8/10,Silverado EV RST,110/250,,New on card,Walmart,,,,,Chevrolet
HW Green Speed,2024,9/10,Ford Performance Supervan 4,128/250,,New on card,Target,,,,,
HW Hatchbacks,,2/5,2019 Mercedes-Benz A-Class,18/250,2019,New on card,Flea Market,,ZAMAC,,,
HW Haulers,,2/5,Fast-Bed Hauler,11/250,08-22,New on card,Dollar General,,,,,
HW Haulers,2023,2/5,Fast-Bed Hauler,11/250,,New on card,Walmart,,,,,
HW Haulers,,4/5,Mercedes-Benz Unimog 1300,61/250,2021,New on card,Dollar Tree,,,,,
HW Haulers,,5/5,Hiway Hauler 2,130/250,,New on card,Target,,,,,
HW Haulers,2023,1/5,Raijin Express,10/250,,New on card,Dollar General,,TH,,Raijin Express (HW Art Cars 2022 TH).jpeg,
HW Hot Trucks,,2/10,Solid Muscle,001,2017,New on card,Flea Market,,ZAMAC,,,
HW Hot Trucks,2023,4/10,Mazda Repu,147/250,,New on card,Family Dollar,,,2,,
HW Hot Trucks,,6/10,Haul-O-Gram,238/250,07-20,Opened,Flea Market,,,,,
HW Hot Trucks,,5/10,Power Panel,189/250,,Opened,Walmart,,,,,
HW Hot Trucks,,8/10,Lolux,115/250,07-22,Opened,Family Dollar,,,,,
HW Hot Trucks,,4/10,2020 Toyota Tacoma,72/250,04-22,New on card,Dollar General,,,,,
HW Hot Trucks,,1/10,Toon’d 1983 Chevy Silverado,93/250,,Opened,Dollar Tree,,,,,
HW Hot Trucks,2023,3/10,GMC Hummer EV,116/250,,New on card,Walmart,,,,,
HW Hot Trucks,2022,10/10,Rennen Rig,127/250,08-22,Opened,Dollar General,,,,,
HW Hot Trucks,2023,6/10,Limited Grip,190/250,,New on card,Walmart,https://hotwheels.fandom.com/wiki/Limited_Grip,,,,
HW Hot Trucks,2023,8/10,Ford Bronco R,225/250,,New on card,Walmart,,,,,Borla
HW Hot Trucks,2023,9/10,Ford F-150 Lightning Custom,226/250,,New on card,Walmart,,,,,
HW Hot Trucks,2023,10/10,Land Rover Defender 90,227/250,11-22,New on card,Dollar Tree,,,,,
HW Hot Trucks,2024,2/10,2019 Ford Ranger Raptor,43/250,,New on card,Dollar Tree,,,2,,
HW Hot Trucks,2024,1/10,Volkswagen T2 Pickup,42/250,,New on card,Dollar Tree,,,2,,
HW Hot Trucks,2024,4/10,1973 Jeep J10,91/250,,New on card,Walmart,,,2,,K&N
HW Hot Trucks,2024,5/10,Land Rover Series II,92/250,,New on card,Publix,,,,,
HW Hot Trucks,2024,6/10,Custom 1972 Chevy LUV,118/250,,New on card,Dollar Tree,,,,,
HW Hot Trucks,2024,8/10,1952 Chevy,139/250,,New on card,Publix,,,,,
HW Hot Trucks,2024,9/10,1963 Studebaker Champ,155/250,,New on card,Mommy,,,,,
HW Hot Trucks,2024,10/10,2022 Ford Maverick Custom,196/250,,New on card,Target,,,,,
HW J-Imports,2022,10/10,Honda Civic Custom,204/250,08-22,New on card,Dollar General,,,,blue,
HW J-Imports,2022,9/10,Nissan Skyline HT 2000GT-X,187/250,04-22,New on card,Flea Market,,,,,
HW J-Imports,2023,1/10,Nissan Patrol Custom,20/250,08-22,New on card,Dollar General,,,,,
HW J-Imports,2023,4/10,Nissan Maxima Drift Car,41/250,09-22,New on card,Dollar Tree,,,,Nissan Maxima Drift Car (HW J-Imports) [red].jpeg,
HW J-Imports,2023,2/10,Subaru WRX STI,21/250,,New on card,Target,https://hotwheels.fandom.com/wiki/Subaru_WRX_STI,,,,
HW J-Imports,2023,2/10,Subaru WRX STI,21/250,,New on card,Target,https://hotwheels.fandom.com/wiki/Subaru_WRX_STI,,,Subaru WRX STI (HW J-Imports 2023) [gray].jpeg,
HW J-Imports,2023,4/10,Nissan Maxima Drift Car,41/250,09-22,New on card,Grandpa,,,,Nissan Maxima Drift Car (HW J-Imports) [blue].jpeg,
HW J-Imports,2023,7/10,1990 Honda Civic EF,96/250,11-22,New on card,Dollar General,,,,,
HW J-Imports,2023,6/10,1986 Toyota Van,95/250,11-22,New on card,Dollar General,,,,,
HW J-Imports,2023,5/10,Nissan Skyline GT-R [R32],69/250,,New on card,Walmart,,,,,Godzilla
HW J-Imports,2023,8/10,1973 Honda Civic Custom,117/250,,New on card,Family Dollar,,,,,
HW J-Imports,2023,3/10,2023 Nissan Z,46/250,,New on card,Family Dollar,,,2,,
HW J-Imports,2023,10/10,1988 Honda CR-X,148/250,,New on card,Family Dollar,,,,,
HW J-Imports,2024,1/10,Nissan Skyline RS [KDR30],44/250,,New on card,Dollar Tree,,,,,
HW J-Imports,2024,1/10,Nissan Skyline RS [KDR30],44/250,,Opened,Dollar Tree,,,,,
HW J-Imports,2024,1/10,Nissan Skyline RS [KDR30],44/250,,New on card,Walmart,,,,Green,
HW J-Imports,2024,2/10,Honda Civic Si,45/250,,New on card,Dollar Tree,,,2,,
HW J-Imports,2024,2/10,Honda Civic Si,45/250,,New on card,Family Dollar,,,,Honda Civic Si (HW J-Imports 2024) [white].jpeg,
HW J-Imports,2024,5/10,Nissan Skyline GT-R [BCNR33],96/250,,New on card,Dollar Tree,,,,,Godzilla
HW J-Imports,2024,7/10,Mazda RX-3,156/250,,New on card,Mommy,,,,,Tooned
HW Legends Tour,2022,1/6,Custom 1971 El Camino,,,New in 6-pack,Ross,,,,,
HW Legends Tour,2022,2/6,1967 Pontiac GTO,,,New in 6-pack,Ross,,,,,
HW Legends Tour,2022,3/6,2005 Ford Mustang,,,New in 6-pack,Ross,,,,,
HW Legends Tour,2022,4/6,Baja Truck,,,New in 6-pack,Ross,,,,,
HW Legends Tour,2022,5/6,Rip Rod,,,New in 6-pack,Ross,,,,,
HW Legends Tour,2022,6/6,2013 Hot Wheels Chevy Camaro Special Edition,,,New in 6-pack,Ross,,,,,
HW Mega Bite,2024,1/5,Shark Bite,18/250,,Opened,Mommy,,,,,
HW Mega Bite,2024,1/5,Shark Bite,18/250,,Opened,Family Dollar,,,,Shark Bite (HW Mega Bite 2024) [red].jpeg,Hot Wheels Let’s Race
HW Mega Bite,2024,3/5,Hotweiler,66/250,,Opened,Walmart,,,,,
HW Mega Bite,2024,4/5,Piranha Terror,87/250,,Opened,Target,,,,,Hot Wheels Let’s Race
HW Mega Bite,2024,5/5,T-Rextroyer,114/250,,Opened,Walmart,,,,,Hot Wheels Let’s Race
HW Metro,2021,4/10,Surfin’ School Bus,55/250,10-20,Opened,Trade,,,,,
HW Metro,2022,1/10,Mighty K,5/250,,New on card,Family Dollar,,,,,
HW Metro,,2/10,Fast Gassin’,6/250,04-22,Opened,Dollar General,,,,,
HW Metro,2022,9/10,Ain’t Fare,77/250,04-22,Opened,Dollar General,,,,,type:Bus
HW Metro,2019,5/10,Heavy Hitcher,129/250,,Opened,Flea Market,,,,,
HW Metro,2023,5/10,Solar Reflex,136/250,,New on card,Target,,,,,
HW Metro,,2/10,Dodge Charger Drift,54/250,,New on card,Family Dollar,,,0,,
HW Metro,2023,7/10,Trouble Decker,202/250,,Opened,Walmart,,,,,
HW Metro,2022,10/10,Cockney Cab II,102/250,12-21,New on card,Flea Market,,,2,,
HW Metro,2023,8/10,Time Shifter,198/250,,New on card,Dollar Tree,,TH,2,,
HW Metro,2023,1/10,Hot Wheels High,53/250,,Opened,Dollar General,,,,,type:Bus
HW Metro,2023,1/10,Hot Wheels High,53/250,,Opened,Walmart,,,,Hot Wheels High (HW Metro 2023) [yellow].jpeg,type:Bus
HW Metro,2024,3/10,5 Alarm,125/250,,Opened,Dollar General,,,,,type:Fire truck
HW Metro,2024,3/10,5 Alarm,125/250,,Opened,Walmart,,,,5 Alarm (HW Metro 2024) [Blue].jpeg,Hot Wheels Let’s Race / Fire truck
HW Metro,2024,5/10,Speed Dozer,147/250,,New on card,Mommy,,,,,Hot Wheels Let’s Race
HW Metro,2024,7/10,Honda Super Cub Custom,159/250,,New on card,Walmart,,TH,,,type:Motorcycle
HW Metro,2024,10/10,Kowloon’d Hypervan,187/250,,Opened,Walmart,,,,,Hot Wheels Let’s Race
HW Modified,,2/5,1970 Pontiac Firebird,18/250,08-22,New on card,Dollar General,,,,,
HW Modified,,5/5,2015 Mazda MX-5 Miata,114/250,11-22,New on card,Family Dollar,,,,,
HW Modified,,5/5,2015 Mazda MX-5 Miata,114/250,,Used,,,,,,
HW Modified,2023,3/5,2018 Bentley Continental GT3,44/250,,New on card,Family Dollar,,,,,
HW Modified,2023,3/5,2018 Bentley Continental GT3,44/250,,New on card,,,,,2018 Bentley Continental GT3 (HW Modified 2023) [silver].jpeg,
HW Modified,2023,1/5,LB Super Silhouette Nissan Silvia (S15),17/250,,New on card,Family Dollar,,,2,,Liberty Walk
HW Modified,2024,4/10,Drift’n Break,35/250,,New on card,Mommy,,,,,
HW Modified,2024,7/10,Custom 1968 Camaro,81/250,,New on card,Dollar Tree,,,,,
HW Modified,2024,10/10,BMW M3 Wagon,138/250,,New on card,Publix,,,2,,
HW Race Day,,9/10,Roborace Robocar,161/250,2019,New on card,Flea Market,,,,,
HW Race Day,2024,5/10,Shelby Cobra Daytona Coupe,122/250,,New on card,Dollar Tree,,,2,,Gulf
HW Race Day,2024,6/10,Jaguar MK1,127/250,,New on card,Publix,,,,,
HW Race Day,2024,8/10,1967 Lotus Type 49,188/250,,New on card,Walmart,,,,,
HW Race Day,2024,9/10,Formula E Gen3,193/250,,New on card,Walmart,,,,,
HW Race Team,,1/5,Grand Cross,192/250,2019,Opened,Flea Market,,,,,
HW Raceday,,9/10,DAVancenator,140/250,12-20,Opened,Flea Market,,,,,
HW Racing,,,Loop Coupe,109/250,3582N,New on card,Flea Market,,,,,
HW Rescue,2017,1/10,HW Pursuit,,3536N,New on card,Flea Market,https://hotwheels.fandom.com/wiki/HW_Pursuit,TH,,,
HW Rescue,,2/10,Lethal Diesel,121/250,,New on card,Family Dollar,,,,,
HW Rescue,,3/10,Snow Stormer,145/250,,New on card,Family Dollar,,,,,
HW Rescue,,4/10,Ford Mustang GT Concept,188/250,04-22,New on card,Dollar General,,,,,
HW Rescue,2019,3/10,1971 Porsche 911,122/250,,New in 50-pack,OfferUp,https://hotwheels.fandom.com/wiki/'71_Porsche_911,,,,
HW Rescue,2023,3/10,2010 Camaro SS,203/250,,New on card,Dollar Tree,https://hotwheels.fandom.com/wiki/'10_Camaro_SS,,,,
HW Rescue,2023,6/10,Surf Duty,230/250,,New on card,Dollar Tree,,,,,
HW Rescue,2023,4/10,2018 Honda Civic Type R,215/250,,New on card,Walmart,,,,,
HW Reverse Rake,2024,2/5,1955 Chevy Bel Air Gasser,63/250,,New on card,Dollar Tree,,,,,
HW Reverse Rake,2024,2/5,1955 Chevy Bel Air Gasser,63/250,,Opened,,,,,1955 Chevy Bel Air Gasser (HW Reverse Rake 2024) [maroon].jpeg,
HW Ride-Ons,2022,5/5,Kick Kart,90/250,11-21,Opened,Dollar General,,,,,
HW Ride-Ons,2024,1/5,Grass Chomper,93/250,,Opened,Dollar Tree,,,,,Hot Wheels Let’s Race
HW Ride-Ons,2024,3/5,Tanknator,119/250,,New on card,Walmart,,,,,
HW Ride-Ons,2024,4/5,Draggin’ Wagon,141/250,,New on card,Publix,,TH,2,,Hot Wheels Let’s Race
HW Roadsters,,4/5,Rrroadster,154/250,2017,Opened,Flea Market,https://hotwheels.fandom.com/wiki/RRRoadster,,,,Best for Track
HW Roadsters,2019,4/5,Rrroadster,154/250,,Used,Marketplace,https://hotwheels.fandom.com/wiki/RRRoadster,,,,Came with Launch Box
HW Roadsters,2023,2/10,2017 Pagani Huayra Roadster,13/250,,New on card,Family Dollar,,,,,
HW Roadsters,2023,2/10,2017 Pagani Huayra Roadster,13/250,,New (open),Family Dollar,,,,,
HW Roadsters,2023,4/10,Corvette C7 Z06 Convertible,34/250,09-22,New on card,Walmart,,,,Corvette C7 Z06 Convertible (HW Roadsters 2023) [red].jpeg,
HW Roadsters,2023,4/10,Corvette C7 Z06 Convertible,34/250,09-22,New on card,Walmart,,,,,
HW Roadsters,2023,8/10,1972 Stingray Convertible,132/250,,New on card,Walmart,,,,,
HW Roadsters,2023,6/10,McLaren Elva,82/250,11-22,New on card,Dollar Tree,https://hotwheels.fandom.com/wiki/McLaren_Elva,,,,
HW Roadsters,2023,10/10,BMW i8 Roadster,156/250,,New on card,Dollar Tree,,,,,
HW Roadsters,2023,7/10,Dodge Viper RT/10,131/250,,New on card,Dollar Tree,,,,,
HW Roadsters,2024,3/5,1970 Plymouth Barracuda,20/250,,New on card,Dollar Tree,,,,,
HW Roadsters,2024,3/5,1970 Plymouth Barracuda,20/250,,New on card,Publix,,,,1970 Plymouth Barracuda (HW Roadsters 2024) [red].jpeg,
HW Roadsters,2023,1/10,Roadster Bite,12/250,,Opened,Dollar General,,,,,Best for Track
HW Roadsters,2024,5/5,2015 Jaguar F-Type Project 7,116/250,,New on card,Walmart,,,,,
HW Rolling Metal,2024,1/5,Shelby Cobra 427 S/C,181/250,,New on card,Target,,,2,,
HW Rolling Metal,2024,2/5,1949 Drag Merc,215/250,,New on card,Target,,,,,
HW Screen Time,2017,1/10,UNSC Warthog,2/365,1996N,New on card,Flea Market,,,,,HALO
HW Screen Time,2017,10/10,K.I.T.T.,3/365,2486N,New on card,Flea Market,,,,,Knight Rider
HW Screen Time,2021,6/10,Rally Baja Crawler,141/250,2001,New on card,Flea Market,,,,,Fast & Furious  - Spy Racers
HW Screen Time,2022,6/10,Aston Martin Valhalla Concept,103/250,01-22,New on card,Flea Market,,,,,60 Years of Bond 007 - No Time to Die
HW Screen Time,2022,8/10,Back to the Future Time Machine,167/250,03-22,New on card,Flea Market,,,,,
HW Screen Time,2023,8/10,Corvette Grand Sport Roadster,154/250,,New on card,Dollar Tree,,,,,Fast & Furious
HW Screen Time,2019,9/10,Back to the Future Time Machine - Hover Mode,,,New in 50-pack,OfferUp,https://hotwheels.fandom.com/wiki/Back_to_the_Future_Time_Machine_-_Hover_Mode,,,,
HW Screen Time,2023,9/10,1956 Corvette,183/250,,New on card,Walmart,,,,,Barbie the Movie
HW Screen Time,2023,1/10,HW K.I.T.T. Concept,6/250,08-22,New on card,Dollar General,,,,,Knight Rider
HW Screen Time,2023,2/10,Standard Kart,29/250,09-22,New on card,Walmart,,,,,Mariokart
HW Screen Time,2023,10/10,2024 GMC Hummer EV,184/250,,New on card,Dollar Tree,,,,,Barbie the Movie
HW Screen Time,2023,6/10,The Beatles Yellow Submarine,127/250,,New on card,Family Dollar,,,,,
HW Screen Time,2023,4/10,Snoopy,78/250,,Opened,Dollar General,,,,,"Peanuts, Charlie Brown"
HW Screen Time,2024,6/10,Ice Charger,78/250,,New on card,Walmart,,,,,The Fate of the Furious
HW Screen Time,2024,7/10,Aston Martin 1963 DB5,107/250,,New on card,Dollar Tree,,,,,Goldfinger 60 Sixty Years
HW Screen Time,2024,9/10,Bumblebee,186/250,,Opened,Walmart,,,2,,Transformers
HW Showroom,,,1964 Corvette Sting Ray,204/250,2013,New on card,Flea Market,,ZAMAC,,,
HW Slammed,2023,2/5,Custom 1968 Camaro,228/250,,New (open),Walmart,,,,,
HW Slammed,2023,2/5,Custom 1968 Camaro,228/250,,New on card,Grandpa,,,,,
HW Slammed,2023,3/5,Layin' Lowrider,237/250,,New on card,Walmart,,,,,
HW Slammed,2023,4/5,Volvo 240 Drift Wagon,245/250,,New on card,Mommy,,,,,
HW Slammed,2023,5/5,1964 Lincoln Continental,246/250,,New on card,Mommy,,,,,
HW Space,2019,1/5,Dune-A-Soar,,,New in 50-pack,OfferUp,https://hotwheels.fandom.com/wiki/Dune-A-Soar,,,,
HW Speed Graphics,,6/10,1987 Dodge D100,128/250,11-19,New on card,Flea Market,,,,,K&N
HW Speed Graphics,,5/10,Toyota Off-Road Truck,78/365,2836N,New on card,Grandpa,,,,,
HW Speed Team,,3/5,La Fasta,48/250,07-22,Opened,Family Dollar,,,,,Best for Track
HW Speed Team,,2/5,Fast Fish,47/250,04-22,Opened,Dollar General,,,,,
HW Speed Team,2022,4/5,Mach It Go,71/250,08-22,Opened,Dollar General,,,,,Best for Track
HW Sports,2023,5/5,Rise ‘N Climb,146/250,,New on card,Family Dollar,,TH,2,,
HW the 80s,2023,8/10,DMC Delorean,101/250,11-22,New on card,Family Dollar,,,,,
HW the 80s,2023,3/10,1980 El Camino,26/250,,New on card,Dollar General,,,0,,
HW the 80s,2023,4/10,1989 Mazda Savanna RX-7 FC3S,51/250,11-22,New on card,Dollar Tree,,,,,
HW the 80s,2023,5/10,1988 Jeep Wagoneer,52/250,11-22,New on card,Dollar Tree,,,,,
HW the 80s,2023,6/10,1984 Corvette,74/250,11-22,New on card,Dollar General,,,,,
HW the 80s,2023,7/10,1982 Cadillac Seville,75/250,,New on card,Walmart,,,,,
HW the 80s,2023,10/10,1982 Toyota Supra,167/250,,New on card,Dollar Tree,,,,,
HW the 90s,2024,1/10,1996 Porsche Carrera,174/250,,New on card,Walmart,,,,,
HW the 90s,2024,2/10,1990 Acura NSX,175/250,,New on card,Walmart,,,,,
HW the 90s,2024,4/10,1992 BMW M3,195/250,,New on card,Target,,,,,
HW Tool-in-1,,1/5,Tooligan,31/250,1786N,Opened,Flea Market,,,,,
HW Track Champs,2023,1/5,Rally Speciale,40/250,,Opened,Target,,,,,Best for Track
HW Track Champs,2023,3/5,Group C Fantasy,89/250,,Opened,Dollar General,,,,,Best for Track
HW Track Champs,2024,1/5,Terra-Tracktyl,131/250,,Opened,Walmart,,,,,
HW Track Champs,2024,3/5,Bone Shaker,183/250,,New on card,Dollar Tree,,TH,,,
HW Track Champs,2024,4/5,Track Dwagon,189/250,,New on card,Walmart,,,,,Hot Wheels Let’s Race
HW Track Champs,2024,4/5,Track Dwagon,189/250,,New (open),Walmart,,,,,Hot Wheels Let’s Race
HW Track Champs,2024,4/5,Track Dwagon,189/250,,New on card,Walmart,,,,Track Dwagon (HW Track Champs 2024) [black].jpeg,Hot Wheels Let’s Race
HW Track Champs,2024,5/5,Ravenger S/T,217/250,,Opened,Target,,,,,Hot Wheels Let’s Race
HW Turbo,2021,5/5,2017 Acura NSX,148/250,,New on card,Dollar General,,,,,
HW Turbo,2023,1/5,Pagani Zonda R,72/250,,New on card,Dollar Tree,https://hotwheels.fandom.com/wiki/Pagani_Zonda_R,,,,
HW Turbo,,3/5,Renault Sport R.S. 01,134/250,,New on card,Target,,,,,
